x1
151.2
22.56
151.2
22.56
22.56
22.56
151.2
22.56
22.56
151.2
22.56
345.6
151.2
22.56
22.56
22.56
345.6
345.6
187.2
345.6
22.56
22.56
345.6
22.56
187.2
22.56
22.56
22.56
22.56
22.56
22.56
22.56
187.2
22.56
22.56
22.56
22.56
22.56
22.56
136.8
187.2
22.56
136.8
187.2
22.56
22.56
22.56
22.56
136.8
22.56
187.2
22.56
136.8
22.56
22.56
22.56
187.2
136.8
22.56
22.56
187.2
136.8
22.56
22.56
187.2
136.8
22.56
22.56
22.56
22.56
187.2
136.8
22.56
22.56
22.56
22.56
187.2
26.4
22.56
22.56
22.56
22.56
22.56
22.56
187.2
22.56
22.56
22.56
22.56
22.56
136.8
136.8
22.56
136.8
22.56
22.56
22.56
136.8
22.56
22.56
22.56
22.56
26.4
22.56
22.56
22.56
34.8
26.4
26.4
